DATE_TIME,PLANT_ID,IRRADIATION(W/m²),WIND_SPEED(m/s),CLOUD_COVER(%),AMBIENT_TEMPERATURE(°C),THEORETICAL_MODULE_TEMPERATURE(°C),ACTUAL_MODULE_TEMPERATURE(°C),THEORETICAL_DC_POWER(kW),THEORETICAL_AC_POWER(kW),ACTUAL_DC_POWER(kW),ACTUAL_AC_POWER(kW),DC_EFFICIENCY,AC_EFFICIENCY,INVERTOR_EFFICIENCY,DAILY_YIELD(kWh),TOTAL_YIELD(kWh),THEORETICAL_DC_PER_KWP,THEORETICAL_AC_PER_KWP,DC_RESIDUAL(kW),AC_RESIDUAL(kW)
2020-06-05 10:00:00,4136001,811.7192696666667,2.972222222222222,10.0,29.860947766666666,47.76783657466726,51.5000714,18846.970796152822,18395.077754409984,14142.764285714286,13803.663809523809,0.531073796782723,0.531323751894263,0.9760230412287219,38268.96333333333,2639883.959659715,0.737794902961551,0.7201048249915828,-4704.2065104385365,-4591.413944886175
2020-06-05 10:15:00,4136001,847.0610855172414,2.972222222222222,14.5,30.15575227586207,48.84229729058171,50.61020517241381,19574.560183870715,19110.082379694344,13341.379047619048,13024.80619047619,0.5009810445821677,0.5013443523627925,0.9762713542570883,41525.16488095238,2643140.161207334,0.7662775566205017,0.7480948279387098,-6233.181136251667,-6085.276189218153
2020-06-05 10:30:00,4136001,920.9433376666668,2.972222222222222,19.0,30.86852616666667,51.184946587285836,57.25780413333334,21061.441972430515,20543.017906101217,16217.586666666666,15818.393333333332,0.6089852840451652,0.6088737172088373,0.9753851580054245,45479.76321428571,2647094.759540668,0.8244839292397931,0.8041893875944888,-4843.855305763849,-4724.624572767885
2020-06-05 10:45:00,4136001,893.0844131034481,2.972222222222222,23.5,31.095844275862067,50.79768440609476,57.40067255172414,20459.664217557875,19962.331902929636,15214.506666666666,14844.673333333334,0.5713187081682761,0.571393771968681,0.9756920588070334,49190.931547619046,2650805.9278740007,0.8009263737544676,0.781457502561348,-5245.157550891208,-5117.658569596302
2020-06-05 11:00:00,4136001,916.4784675862068,2.972222222222222,28.0,31.44439172413793,51.66231512114227,58.12696682758621,20914.629429841283,20400.73983755388,15922.274285714286,15531.050952380952,0.597896032734674,0.5978134774034812,0.9754291801338741,53073.694285714286,2654688.6906120963,0.8187367167681067,0.7986196843826142,-4992.355144126997,-4869.688885172927
2020-06-05 11:15:00,4136001,940.1133463333332,3.104166666666667,42.0,31.800298,52.13476717932912,56.20672820000002,21408.60848482214,20897.287045398138,13993.69619047619,13659.471904761906,0.5254761528060621,0.5257735889166616,0.9761160824727815,56488.562261904764,2658103.558588287,0.8380743192335932,0.8180578213113383,-7414.91229434595,-7237.815140636232
2020-06-05 11:30:00,4136001,856.7388703333331,3.236111111111111,56.0,32.135494,50.31177214433718,57.79458213333333,19669.561972978277,19191.53183939064,15259.310476190476,14888.462857142858,0.5730011323926673,0.5730792965080491,0.9756969609061784,60210.67797619048,2661825.6743025724,0.7699965540410365,0.7512832976860693,-4410.251496787801,-4303.06898224778
2020-06-05 11:45:00,4136001,376.9944793103448,3.3680555555555554,70.0,31.144323896551725,38.99224436098773,45.17489596551725,9091.324588704978,8906.201178835487,7478.4,7326.12,0.2808207929953016,0.28199336197553193,0.9796373555840822,62042.20797619048,2663657.2043025726,0.3558944838013301,0.348647530978097,-1612.9245887049783,-1580.0811788354868
2020-06-05 12:00:00,4136001,986.7557566666668,3.5,84.0,31.854984566666666,52.017546002438365,51.42422273333334,22482.58571163212,21930.985722160487,17580.79,17149.453333333335,0.6601748220587116,0.6601082157416422,0.975465455951259,66329.5713095238,2667944.567635906,0.8801168804710167,0.85852361409906,-4901.7957116321195,-4781.532388827152
2020-06-05 12:15:00,4136001,966.0673,3.826388888888889,81.0,32.97867465517242,51.85731650382159,59.2911701724138,22027.029428467362,21481.88034419932,18622.959523809524,18162.05809523809,0.6993092454797276,0.6990848938689395,0.9752509031670198,70870.08583333333,2672485.0821597152,0.8622833990396306,0.8409426636993275,-3404.0699046578375,-3319.822248961227
